danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.641,0.338,-7.234,0.0514,0.662,1.37E-06,0.109,0.298,141.85,183484,0
0.664,0.607,-8.822,0.113,0.23,0,0.164,0.541,95.958,187349,0
0.689,0.481,-7.503,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,229526,0
0.772,0.256,-8.545,0.0481,0.491,0.00612,0.144,0.357,118.902,210240,0
0.464,0.473,-10.086,0.129,0.866,0,0.109,0.604,75.801,208687,0
0.574,0.123,-13.959,0.196,0.894,0.00111,0.118,0.117,115.431,98027,0
0.586,0.525,-7.163,0.0615,0.111,0,0.134,0.508,133.629,260253,0
0.599,0.732,-6.843,0.026,0.0145,0.000467,0.143,0.295,97.997,263867,0
0.304,0.317,-10.52,0.0285,0.73,0.00519,0.118,0.0596,147.83,276960,0
0.572,0.406,-8.624,0.0427,0.587,4.48E-06,0.102,0.265,119.812,201084,0
0.503,0.504,-6.843,0.416,0.488,1.59E-06,0.122,0.67,85.39,196589,0
0.652,0.557,-5.714,0.0318,0.74,0,0.124,0.483,150.073,169354,0
0.545,0.478,-7.035,0.0559,0.785,0.00278,0.123,0.318,173.746,143976,0
0.522,0.385,-7.355,0.0288,0.536,0,0.135,0.236,89.792,207520,0
0.457,0.16,-11.816,0.0422,0.889,0,0.133,0.165,109.84,150707,0
0.648,0.115,-17.133,0.0445,0.939,3.88E-05,0.11,0.29,119.967,214815,0
0.576,0.307,-12.732,0.0428,0.807,0.000355,0.0792,0.157,67.513,189613,0
0.525,0.0632,-23.321,0.0305,0.94,0.763,0.105,0.24,79.273,243667,0
0.866,0.438,-8.943,0.0719,0.177,0,0.0743,0.695,129.039,223258,0
0.654,0.63,-4.644,0.0259,0.153,0,0.111,0.43,89.991,167693,0
0.678,0.0688,-18.077,0.0488,0.905,3.87E-05,0.0794,0.333,95.985,166560,0
0.357,0.533,-8.126,0.0777,0.723,0,0.101,0.318,138.086,222912,0
0.444,0.309,-10.956,0.062,0.795,0.132,0.352,0.0875,104.745,208155,0
0.731,0.662,-11.58,0.255,0.568,0.00102,0.22,0.432,89.927,214556,0
0.63,0.53,-7.259,0.0434,0.4,0,0.177,0.417,108.038,225053,0
0.617,0.741,-3.97,0.0311,0.131,0,0.0772,0.306,118.984,236267,0
0.432,0.49,-10.01,0.0283,0.946,0.262,0.173,0.335,93.207,383053,0
0.545,0.255,-14.844,0.0311,0.362,1.77E-05,0.0841,0.831,98.088,149013,0
0.494,0.208,-10.174,0.0559,0.718,1.33E-06,0.214,0.153,138.951,180000,0
0.357,0.326,-8.441,0.0302,0.761,0.000132,0.104,0.181,176.53,193720,0
0.53,0.271,-9.847,0.0491,0.841,0,0.103,0.392,101.796,191147,0
0.534,0.0573,-17.534,0.0475,0.969,1.05E-05,0.115,0.531,117.571,199107,0
0.661,0.408,-7.179,0.0626,0.664,0,0.108,0.141,75.01,123200,0
0.63,0.698,-4.51,0.0244,0.173,0,0.0789,0.529,94.023,261427,0
0.3,0.347,-9.542,0.0364,0.79,2.14E-06,0.111,0.164,169.361,211653,0
0.441,0.219,-14.586,0.0419,0.935,0,0.115,0.244,94.021,199120,0
0.544,0.446,-11.735,0.536,0.607,0,0.0923,0.469,115.192,210452,0
0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,0
0.264,0.128,-15.443,0.034,0.885,0.352,0.105,0.0774,148.499,370667,0
